# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15795
#@/user_id	rime-setting
bei ju 	悲劇	c=1 d=3.50832e-31 t=15795
bei piao 	北漂	c=1 d=6.58614e-29 t=15795
bei qing 	悲情	c=2 d=4.76855e-24 t=15795
bei shang guang shen 	北上廣深	c=1 d=6.52061e-29 t=15795
bei shou 	備受	c=1 d=0.000322309 t=15795
bei wang lu 	備忘錄	c=7 d=1.24281e-20 t=15795
bei zhan 	北站	c=4 d=4.79694e-25 t=15795
bei zhu 	備註	c=3 d=3.85487e-28 t=15795
bei zuo zhe 	被作者	c=1 d=5.74249e-34 t=15795
ben 	本	c=5 d=5.22973e-15 t=15795
ben di 	本地	c=10 d=0.759572 t=15795
ben di bao 	本地寶	c=1 d=7.55502e-26 t=15795
ben lai 	本來	c=1 d=3.03529e-33 t=15795
ben lai de 	本來的	c=1 d=7.79066e-05 t=15795
ben ling 	本領	c=1 d=5.89708e-23 t=15795
ben xiang 	本想	c=1 d=3.5798e-33 t=15795
ben zhi 	本質	c=2 d=0.427703 t=15795
ben zhou 	本週	c=2 d=1.30035e-21 t=15795
ben zhu 	笨豬	c=2 d=1.81709e-28 t=15795
beng 	泵	c=1 d=0.066205 t=15795
beng ku 	甭哭	c=2 d=0.165406 t=15795
beng kui 	崩潰	c=4 d=0.246035 t=15795
bi 	比	c=4 d=5.67472e-12 t=15795
bi 	避	c=0 d=0.00317456 t=15795
bi an 	彼岸	c=0 d=6.65573e-36 t=15795
bi an yi 	彼岸一	c=4 d=2.69581e-34 t=15795
bi bei jing 	比北京	c=1 d=1.4195e-33 t=15795
bi bu kai 	比不開	c=1 d=0.0317456 t=15795
bi bu kai 	避不開	c=1 d=0.0319048 t=15795
bi guan 	閉關	c=1 d=1.30339e-29 t=15795
bi ji 	筆記	c=9 d=0.00719046 t=15795
bi jiao 	比較	c=18 d=1.30082e-07 t=15795
bi jiao shao 	比較少	c=1 d=8.73688e-30 t=15795
bi jiao yan 	比較嚴	c=1 d=4.44996e-34 t=15795
bi jing 	畢竟	c=2 d=0.00381048 t=15795
bi mian 	避免	c=5 d=0.0155297 t=15795
bi ru 	比如	c=5 d=0.0003026 t=15795
bi xu 	必須	c=7 d=0.0867177 t=15795
bi xu xian zuo 	必須先做	c=1 d=0.826959 t=15795
bi yi ge 	比一個	c=1 d=5.24646e-30 t=15795
bian 	變	c=7 d=1.6546e-12 t=15795
bian 	辯	c=1 d=3.7627e-31 t=15795
bian 	邊	c=1 d=9.58115e-27 t=15795
bian cheng 	編程	c=6 d=0.606646 t=15795
bian cheng 	變成	c=2 d=0.246597 t=15795
bian da 	變大	c=0 d=8.89973e-13 t=15795
bian da shi 	變大是	c=1 d=8.94434e-12 t=15795
bian de 	變得	c=1 d=2.78227e-09 t=15795
bian hu lv shi 	辯護律師	c=1 d=2.38724e-31 t=15795
bian ji 	編輯	c=1 d=1.46652e-34 t=15795
